call-detector,mixup-alpha,secondary-label-weights,valid2020,freefield1010,grouped-by-author,cnn,epoch,f1-score,timestamp
nnc,5,0.6,0,0,0,resnest50,91,0.5821,20220302235327.pth
nnc,5,0.6,0,0,0,resnest50,99,0.5817,20220303003957.pth
nnc,5,0.6,0,0,0,resnest50,98,0.5813,20220303003408.pth
nnc,5,0.6,0,0,0,resnest50,87,0.5803,20220302233011.pth
nnc,5,0.6,0,0,0,resnest50,93,0.5801,20220303000505.pth
nnc,5,0.6,0,0,0,resnest50,88,0.58,20220302233601.pth
nnc,5,0.6,0,0,0,resnest50,79,0.5795,20220302224338.pth
nnc,5,0.6,0,0,0,resnest50,80,0.5795,20220302224928.pth
nnc,5,0.6,0,0,0,resnest50,90,0.5795,20220302234740.pth
nnc,5,0.6,0,0,0,resnest50,94,0.5795,20220303001052.pth
nnc,5,0.6,0,0,0,resnest50,86,0.5794,20220302232422.pth
nnc,5,0.6,0,0,0,resnest50,84,0.579,20220302231245.pth
nnc,5,0.6,0,0,0,resnest50,97,0.5789,20220303002820.pth
nnc,5,0.6,0,0,0,resnest50,82,0.5787,20220302230106.pth
nnc,5,0.6,0,0,0,resnest50,71,0.5777,20220302215706.pth
nnc,5,0.6,0,0,0,resnest50,69,0.5774,20220302214527.pth
nnc,5,0.6,0,0,0,resnest50,57,0.577,20220302203543.pth
nnc,5,0.6,0,0,0,resnest50,74,0.5751,20220302221432.pth
nnc,5,0.6,0,0,0,resnest50,83,0.575,20220302230656.pth
nnc,5,0.6,0,0,0,resnest50,62,0.5745,20220302210443.pth
nnc,5,0.6,0,0,0,resnest50,77,0.5743,20220302223201.pth
nnc,5,0.6,0,0,0,resnest50,70,0.5742,20220302215117.pth
nnc,5,0.6,0,0,0,resnest50,68,0.5738,20220302213936.pth
nnc,5,0.6,0,0,0,resnest50,72,0.5738,20220302220255.pth
nnc,5,0.6,0,0,0,resnest50,81,0.5728,20220302225518.pth
nnc,5,0.6,0,0,0,resnest50,78,0.5725,20220302223750.pth
nnc,5,0.6,0,0,0,resnest50,58,0.572,20220302204131.pth
nnc,5,0.6,0,0,0,resnest50,54,0.5711,20220302201809.pth
nnc,5,0.6,0,0,0,resnest50,75,0.5711,20220302222022.pth
nnc,5,0.6,0,0,0,resnest50,55,0.5706,20220302202400.pth
nnc,5,0.6,0,0,0,resnest50,73,0.5699,20220302220844.pth
nnc,5,0.6,0,0,0,resnest50,61,0.5695,20220302205856.pth
nnc,5,0.6,0,0,0,resnest50,63,0.5695,20220302211033.pth
nnc,5,0.6,0,0,0,resnest50,64,0.5686,20220302211621.pth
nnc,5,0.6,0,0,0,resnest50,66,0.5678,20220302212758.pth
nnc,5,0.6,0,0,0,resnest50,60,0.5677,20220302205307.pth
nnc,5,0.6,0,0,0,resnest50,53,0.5675,20220302201216.pth
nnc,5,0.6,0,0,0,resnest50,56,0.5669,20220302202954.pth
nnc,5,0.6,0,0,0,resnest50,67,0.5667,20220302213345.pth
nnc,5,0.6,0,0,0,resnest50,59,0.5662,20220302204720.pth
nnc,5,0.6,0,0,0,resnest50,65,0.5652,20220302212209.pth
nnc,5,0.6,0,0,0,resnest50,50,0.5648,20220302195440.pth
nnc,5,0.6,0,0,0,resnest50,51,0.5621,20220302200032.pth
nnc,5,0.6,0,0,0,resnest50,52,0.5614,20220302200623.pth
nnc,5,0.6,1,1,1,resnest50,80,0.4483,20220303184240.pth
nnc,5,0.6,1,1,1,resnest50,84,0.4483,20220303190749.pth
nnc,5,0.6,1,1,1,resnest50,94,0.448,20220303201038.pth
nnc,5,0.6,1,1,1,resnest50,85,0.4476,20220303191406.pth
nnc,5,0.6,1,1,1,resnest50,95,0.4474,20220303201656.pth
nnc,5,0.6,0,0,1,resnest50,95,0.4472,20220303094905.pth
nnc,5,0.6,0,0,1,resnest50,99,0.4461,20220303101151.pth
nnc,5,0.6,1,1,1,resnest50,70,0.4458,20220303173948.pth
nnc,5,0.6,1,1,1,resnest50,71,0.4458,20220303174606.pth
nnc,5,0.6,0,0,1,resnest50,72,0.4455,20220303073758.pth
nnc,5,0.6,0,0,1,resnest50,85,0.4455,20220303085205.pth
nnc,5,0.6,0,0,1,resnest50,97,0.4451,20220303100027.pth
nnc,5,0.6,1,1,1,resnest50,99,0.4448,20220303204207.pth
nnc,5,0.6,1,1,1,resnest50,87,0.4441,20220303192642.pth
nnc,5,0.6,1,1,1,resnest50,92,0.444,20220303195803.pth
nnc,5,0.6,1,1,1,resnest50,83,0.4436,20220303190132.pth
nnc,5,0.6,1,1,1,resnest50,86,0.4433,20220303192024.pth
nnc,5,0.6,1,1,1,resnest50,90,0.4433,20220303194529.pth
nnc,5,0.6,0,0,1,resnest50,94,0.4432,20220303094324.pth
nnc,5,0.6,1,1,1,resnest50,76,0.4429,20220303181731.pth
nnc,5,0.6,0,0,1,resnest50,87,0.4428,20220303090328.pth
nnc,5,0.6,1,1,1,resnest50,97,0.4427,20220303202931.pth
nnc,5,0.6,1,1,1,resnest50,63,0.4424,20220303165551.pth
nnc,5,0.6,1,1,1,resnest50,82,0.4424,20220303185515.pth
nnc,5,0.6,0,0,1,resnest50,67,0.442,20220303070933.pth
nnc,5,0.6,0,0,1,resnest50,65,0.4419,20220303065809.pth
nnc,5,0.6,1,1,1,resnest50,73,0.4419,20220303175840.pth
nnc,5,0.6,0,0,1,resnest50,74,0.4418,20220303074922.pth
nnc,5,0.6,1,1,1,resnest50,88,0.4415,20220303193258.pth
nnc,5,0.6,1,1,1,resnest50,96,0.4414,20220303202313.pth
nnc,5,0.6,0,0,1,resnest50,86,0.4413,20220303085748.pth
nnc,5,0.6,0,0,1,resnest50,76,0.4412,20220303080045.pth
nnc,5,0.6,0,0,1,resnest50,77,0.4411,20220303080628.pth
nnc,5,0.6,1,1,1,resnest50,75,0.4411,20220303181115.pth
nnc,5,0.6,1,1,1,resnest50,65,0.4408,20220303170825.pth
nnc,5,0.6,1,1,1,resnest50,81,0.4408,20220303184857.pth
nnc,5,0.6,1,1,1,resnest50,54,0.4406,20220303155923.pth
nnc,5,0.6,1,1,1,resnest50,93,0.4405,20220303200421.pth
nnc,5,0.6,0,0,1,resnest50,59,0.4402,20220303062356.pth
nnc,5,0.6,0,0,1,resnest50,60,0.4401,20220303062939.pth
nnc,5,0.6,0,0,1,resnest50,98,0.4401,20220303100608.pth
nnc,5,0.6,1,1,1,resnest50,79,0.4401,20220303183623.pth
nnc,5,0.6,0,0,1,resnest50,93,0.4398,20220303093742.pth
nnc,5,0.6,0,0,1,resnest50,71,0.4396,20220303073217.pth
nnc,5,0.6,0,0,1,resnest50,96,0.4396,20220303095448.pth
nnc,5,0.6,0,0,1,resnest50,89,0.4393,20220303091452.pth
nnc,5,0.6,1,1,1,resnest50,89,0.4393,20220303193914.pth
nnc,5,0.6,0,0,1,resnest50,90,0.4387,20220303092034.pth
nnc,5,0.6,0,0,1,resnest50,68,0.438,20220303071514.pth
nnc,5,0.6,1,1,1,resnest50,69,0.438,20220303173330.pth
nnc,5,0.6,0,0,1,resnest50,82,0.4377,20220303083457.pth
nnc,5,0.6,1,1,1,resnest50,74,0.4377,20220303180456.pth
nnc,5,0.6,1,1,1,resnest50,68,0.4376,20220303172715.pth
nnc,5,0.6,1,1,1,resnest50,78,0.4375,20220303183005.pth
nnc,5,0.6,1,1,1,resnest50,77,0.4374,20220303182348.pth
nnc,5,0.6,1,1,1,resnest50,91,0.4374,20220303195146.pth
nnc,5,0.6,0,0,1,resnest50,79,0.4369,20220303081750.pth
nnc,5,0.6,1,1,1,resnest50,60,0.4367,20220303163701.pth
nnc,5,0.6,0,0,1,resnest50,83,0.4366,20220303084039.pth
nnc,5,0.6,0,0,1,resnest50,70,0.4361,20220303072636.pth
nnc,5,0.6,1,1,1,resnest50,67,0.4361,20220303172057.pth
nnc,5,0.6,1,1,1,resnest50,72,0.4359,20220303175223.pth
nnc,5,0.6,1,1,1,resnest50,98,0.4354,20220303203551.pth
nnc,5,0.6,0,0,1,resnest50,91,0.4349,20220303092618.pth
nnc,5,0.6,0,0,1,resnest50,69,0.4347,20220303072055.pth
nnc,5,0.6,1,1,1,resnest50,51,0.4347,20220303154036.pth
nnc,5,0.6,0,0,1,resnest50,49,0.4344,20220303052656.pth
nnc,5,0.6,0,0,1,resnest50,63,0.4344,20220303064645.pth
nnc,5,0.6,0,0,1,resnest50,92,0.4343,20220303093200.pth
nnc,5,0.6,1,1,1,resnest50,58,0.4343,20220303162427.pth
nnc,5,0.6,1,1,1,resnest50,50,0.4341,20220303153419.pth
nnc,5,0.6,0,0,1,resnest50,54,0.4331,20220303055526.pth
